postcode,suburb,lat,lon
4000,Brisbane City,-27.4698,153.0251
4001,Brisbane Adelaide Street,-27.4698,153.0251
4005,New Farm,-27.4678,153.0456
4006,Fortitude Valley,-27.4561,153.0289
4007,Hamilton,-27.4389,153.0617
4008,Pinkenba,-27.4189,153.1017
4009,Eagle Farm,-27.4261,153.0961
4010,Albion,-27.4378,153.0317
4011,Clayfield,-27.4278,153.0567
4012,Nundah,-27.4128,153.0617
4013,Northgate,-27.4028,153.0567
4014,Virginia,-27.3961,153.0567
4017,Brighton,-27.3078,153.0617
4018,Bracken Ridge,-27.3311,153.0367
4019,Clontarf,-27.2978,153.0817
4020,Redcliffe,-27.2278,153.1017
4021,Kippa-Ring,-27.2178,153.0917
4025,Peel Island,-27.4978,153.3517
4029,Herston,-27.4478,153.0217
4030,Lutwyche,-27.4228,153.0217
4031,Gordon Park,-27.4128,153.0217
4032,Chermside,-27.3878,153.0267
4034,Aspley,-27.3728,153.0217
4035,Albany Creek,-27.3661,152.9867
4036,Bridgeman Downs,-27.3561,153.0017
4037,Bunya,-27.3578,152.9317
4051,Newmarket,-27.4328,153.0017
4052,Enoggera,-27.4428,152.9717
4053,Everton Park,-27.4128,152.9817
4054,Mitchelton,-27.4228,152.9617
4055,Ferny Grove,-27.3928,152.9317
4059,Paddington,-27.4628,153.0017
4060,Ithaca,-27.4678,153.0017
4061,The Gap,-27.4728,152.9417
4064,Milton,-27.4728,153.0017
4065,Toowong,-27.4828,152.9917
4066,Auchenflower,-27.4828,153.0017
4067,St Lucia,-27.4978,153.0017
4068,Chelmer,-27.5128,152.9817
4069,Kenmore,-27.5078,152.9417
4070,Pullenvale,-27.5278,152.8917
4072,Indooroopilly,-27.5028,152.9717
4073,Jindalee,-27.5278,152.9417
4074,Middle Park,-27.5478,152.9517
4075,Corinda,-27.5378,152.9817
4076,Darra,-27.5578,152.9617
4077,Oxley,-27.5678,152.9717
4078,Forest Lake,-27.6028,152.9617
4101,South Brisbane,-27.4878,153.0151
4102,Woolloongabba,-27.4978,153.0351
4103,Annerley,-27.5128,153.0317
4104,Yeronga,-27.5128,153.0217
4105,Moorooka,-27.5278,153.0317
4106,Rocklea,-27.5378,153.0317
4107,Salisbury,-27.5478,153.0317
4108,Coopers Plains,-27.5578,153.0317
4109,Sunnybank,-27.5778,153.0517
4110,Acacia Ridge,-27.5778,153.0017
4111,Holland Park,-27.5278,153.0617
4112,Kuraby,-27.6128,153.0817
4113,Eight Mile Plains,-27.5978,153.0817
4114,Logan Central,-27.6378,153.0817
4115,Algester,-27.6078,153.0317
4116,Calamvale,-27.6278,153.0317
4117,Karawatha,-27.6428,153.0517
4118,Parkinson,-27.6528,153.0217
4119,Underwood,-27.5978,153.1017
4120,Greenslopes,-27.5078,153.0617
4121,Holland Park West,-27.5278,153.0617
4122,Mount Gravatt,-27.5478,153.0817
4123,Rochedale,-27.5778,153.1217
4124,Willowbank,-27.6578,152.6617
4125,Park Ridge,-27.6978,153.0417
4127,Springwood,-27.6278,153.1217
4128,Shailer Park,-27.6378,153.1417
4129,Loganholme,-27.6678,153.1617
4130,Meadowbrook,-27.6678,153.1217
4131,Slacks Creek,-27.6478,153.1217
4132,Woodridge,-27.6378,153.1117
4133,Kingston,-27.6478,153.1017
4151,Coorparoo,-27.5078,153.0617
4152,Camp Hill,-27.5028,153.0817
4153,Carindale,-27.5028,153.1017
4154,Gumdale,-27.5028,153.1317
4155,Chandler,-27.5228,153.1517
4156,Belmont,-27.5128,153.1417
4157,Cleveland,-27.5228,153.2617
4158,Thorneside,-27.5178,153.2317
4159,Birkdale,-27.5028,153.3117
4160,Wellington Point,-27.4878,153.2917
4161,Alexandra Hills,-27.5278,153.2517
4163,Cleveland,-27.5228,153.2617
4164,Thornlands,-27.5528,153.2717
4165,Mount Cotton,-27.5778,153.2317
4169,East Brisbane,-27.4878,153.0517
4170,Balmoral,-27.4778,153.0817
4171,Hawthorne,-27.4678,153.0817
4172,Morningside,-27.4778,153.0917
4173,Tingalpa,-27.4978,153.1317
4174,Hemmant,-27.4778,153.1517
4175,Lytton,-27.4528,153.1817
4178,Wynnum West,-27.4578,153.1517
4179,Wynnum,-27.4528,153.1717
4183,Amity Point,-27.3978,153.4317
4184,Dunwich,-27.4978,153.4017
4205,Beenleigh,-27.7128,153.2017
4207,Eagleby,-27.7228,153.2317
4208,Pimpama,-27.8228,153.3017
4209,Coomera,-27.8628,153.3017
4210,Helensvale,-27.8828,153.3317
4211,Oxenford,-27.8828,153.3417
4212,Sanctuary Cove,-27.8428,153.3617
4213,Mudgeeraba,-28.0728,153.3517
4214,Arundel,-27.9328,153.3617
4215,Southport,-27.9728,153.3917
4216,Runaway Bay,-27.9228,153.4017
4217,Surfers Paradise,-28.0028,153.4317
4218,Broadbeach,-28.0328,153.4317
4219,Mermaid Beach,-28.0528,153.4317
4220,Miami,-28.0828,153.4317
4221,Palm Beach,-28.1128,153.4717
4222,Currumbin,-28.1528,153.5017
4223,Currumbin Waters,-28.1628,153.4817
4224,Tugun,-28.1828,153.5017
4225,Coolangatta,-28.1728,153.5417
4226,Robina,-28.0728,153.3817
4227,Varsity Lakes,-28.0928,153.4117
4228,Burleigh Heads,-28.0928,153.4517
4229,Burleigh Waters,-28.1028,153.4317
4300,Springfield,-27.6678,152.9117
4301,Goodna,-27.6128,152.9017
4303,Ipswich,-27.6178,152.7617
4304,Churchill,-27.6278,152.7417
4305,Booval,-27.6178,152.7917
4306,Blackstone,-27.6178,152.7717
4350,Toowoomba,-27.5598,151.9507
4370,Warwick,-28.2128,152.0317
4500,Strathpine,-27.2978,152.9867
4501,Petrie,-27.2678,152.9767
4502,Dayboro,-27.1878,152.8267
4503,Kallangur,-27.2578,152.9867
4504,Narangba,-27.2078,152.9667
